用户,星级,评论
匿名用户,5.0,强烈推荐，环境很好，味道很好，服务很好，饮料免费
可爱的欣520,5.0,特别好！！！！阿姨人太好了！！！！！！阿姨人超级好！！！特别的热情！！！并且特别的大方！！！！！大爱阿姨~~~~~因为是整个宿舍去聚餐，都是女生，所以阿姨好心的让我们不要点那么多的东西~~~阿姨人太好了~~~~~ #鲜虾滑# #冻豆腐# #牛肉丸# #香辣锅#
Wtv434774333,5.0,服务非常好  就是免费的饮料兑水有点太多了  已经没味道了     菜品不错   味道很好
kLM705293143,4.0,团的二人餐128，分量足，肉很好吃，菜和面都没吃完，饮料和小吃免费，服务很好。
匿名用户,5.0,服务很好，菜品都不错，环境很好， #鲜虾滑# #鲜牛羊组合# #太阳肉#
冯可可图图,5.0,吃过好几次啦 每次都吃撑 性价比还是很高的
匿名用户,5.0,菜品非常好吃，价格也比较优惠，点了四人套餐赠送很多小菜，服务十分贴心，自助免费赠送饮料，还送了西瓜，雪糕等等。
ww66692,5.0,013服务热情周到，超出想像，照顾小朋友很贴心，包给盖好，赠送水果冰棍。
Annie啦,5.0,013服务员服务特别热情
匿名用户,5.0,013工号阿姨好评～非常热情
匿名用户,3.0,味道还不错，肉品在搞活动有特价的，挺好的！
匿名用户,3.0,味道不错，环境也还可以，就是有点偏
名vs扬,5.0,服务很好，大姐很热情，干净整洁，推荐推荐，嘿嘿， #精品肥牛# #极品羊肉# #火锅#
凌凌19931019,4.0,挺值的，免费饮料也很好喝，还送了个凉拌菜，推荐
IMj268219508,4.0,服务态度很好，菜品也很新鲜。主要是喜欢他家的锅，一上一下……
Qvt753704194,4.0,服务态度超级好，味道也还行，阿姨姐姐人也太好了，给我们送了乾隆白菜，最后吃完还给送了冰棍
小王子555666,5.0,超级好吃，每次聚餐都去这儿，服务员很热情
zexin971006,4.0,性价比高，口味也不错，推荐！ #极品羊肉# #菌类拼盘#
xjm12345,4.0,服务还是很棒的，味道不错，还送了小礼品，果盘，真心不错
匿名用户,5.0,服务非常好，味道也不错，强烈推荐
EAx437537862,4.0,味道不错，性价比高，总体评价很满意。酸梅汤虽然不是熬制的，但味道过得去。 #秘制酸梅汤# #极品羊肉#
tbyx11,5.0,四个人吃足够，很划算
vRw370756949,5.0,服务态度很好，送了果盘和冰棍，肉也挺好的，两个人团购吃的很饱 #极品羊肉# #麻酱小料#
幽灵_船长,5.0,013阿姨服务非常周到贴心，菜品新鲜，味道很棒！吃的非常开心，5星推荐！！！ #极品羊肉# #精品肥牛# #鲜虾滑# #秘制羊肉丸#
Lmw577052803,5.0,带家人来吃老北京涮羊肉，不错不错，爸爸很喜欢发在微信上 广东人的爸爸也爱上了麻酱哈哈哈哈哈 ，妈妈很喜欢那个沙拉，一点也不生 ，  面也很好吃，， 13号阿姨很热情，服务很好
zh51037,4.0,菜品好，肉质细嫩，环境舒适，服务周到热情。
匿名用户,5.0,菜的味道很好 服务也非常热情 五分好评！
匿名用户,5.0,第一次来这里吃火锅，环境很好，性价比很高，四人餐的肉量很足。0031号的阿姨服务很好，来了以后给我们头绳来绑头发，还有发围裙，手机袋等等，这些细节都让人觉得服务超级棒，最后还送了我们果盘。喜欢这家店，以后还会再来吃的！
nHQ140055744,3.0,菜点的有点多了，味道不错，环境好
蜡笔刘德华,4.0,菜品分量足，味道可以，服务周到，环境干净整洁。
上火红茶,4.0,031大姐服务特别热情，来了好多次都是这个大姐服务的，喜欢你哦
尤wo饿了,5.0,很不错，价格实惠，而且服务很周到，环境也好，推荐推荐。
天涯易一心难,5.0,肉很新鲜，小锅卫生，味道自由选择，菜品多样，物美价廉，有免费饮料。
heyong2003,4.0,火锅四人餐去了五个人，环境好菜量大。服务态度也很好，我们自己带的酒水。挺好的聚会吃饭场所，有机会一定还会去。
YFW376579763,3.0,有小锅有大锅 手切羊肉还可以 喜欢分开吃的可以试试
匿名用户,4.0,"口味一直很赞👍菜品量足
工号013的服务大姐热情周到 事无巨细 超级棒👍👍  
他家一直是我及同事吃火锅的首选之地
平均消费水平很大众化  几乎任何人都能接受的范围内  地理位置很好 周边交通情况也很便利
这年头这样的良心商家不多了。 #手切鲜羊肉# #精品羊肉# #鲜虾滑# #菌类拼盘# #羊筋肉# #鸭血# #羊建肉# #双椒锅底#"
萌主芳儿,4.0,"【口味】汤锅比较正常，没什么怪味。菜品比较新鲜。
【环境】挺好的，宽敞明亮。生意很好，很热闹。
【服务】服务很热情，看到这个阿姨没有？人漂亮，服务也很好。如果我会再去，阿姨的起到很大的作用。老板给加鸡腿。
【等位】生意好，不提前预约需要等位，但是时间也不久，安排的很及时。上菜也很快，等位还给送菜。"
匿名用户,3.0,"【口味】好
【环境】好
【服务】好
【等位】好"
wEi784057673,5.0,忘了拍照片了，量给的很足，两个人都吃不完，最后还给打包了。赞赞赞！
Pzs509299787,5.0, #秘制酸梅汤# #极品羊肉# #特价羊肉# #精品肥牛# #麻酱小料# #鲜虾滑# #芝麻烧饼# #蒿子秆# #手切鲜羊肉# #火锅# #精品羊肉# #蔬菜拼盘# #菌类拼盘# #鲜鱼滑# #麻酱调料# #龙利鱼# #鲜毛肚# #鱼虾滑双拼# #番茄锅# #蓝莓山药# #羊肉串# #蓝莓汁# #猪肉韭菜水饺# #果仁菠菜# #糖醋心里美#
