区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
匿名用户,1.0,2017-09-27 18:29:00,环境不好，口味一般，关键是菜品太坑爹，点的牛黄喉绝对是人工的假货，看着像吃了之后确定是假货！
左边5,3.0,2017-10-17 00:12:31,以前聚餐经常去，味道还可以，，
TJaaaaaaa,5.0,2017-10-06 19:39:52,都挺好的  就是服务员态度不好
VHb705362556,1.0,2017-10-05 12:27:38,仔细看，有的没的可能入错单！！！
起名字太难419,5.0,2017-10-03 16:18:21,非常好，老客户了
匿名用户,4.0,2017-08-28 11:42:29,两个人吃的 还不错～不过鸳鸯锅一半要的微辣 实际是麻 不能吃麻的还是清汤吧～还有弄了一点点酱料 不是很好吃 最后走的时候要收什么酱料费 座位费 哈哈哈
thx406150207,1.0,2017-09-18 00:30:56,收调料费这事就有点过分了 反正就那样 不推荐
匿名用户,5.0,2017-09-12 10:51:21,要的是鸳鸯锅，我吃不了辣，总体来说还可以。
匿名用户,3.0,2017-09-06 18:15:50,比较忙，叫一下服务员爱答不理的，说换个啥菜记不住。
不忘初心60475,4.0,2017-08-23 09:41:47,味道是不错，就是价格偏贵，服务一般吧 #临江嫩牛肉# #特级肥牛# #麻辣锅底# #四川宽粉#
花开即是花落,3.0,2017-08-17 12:04:03,味道还不错。但是服务真的很差。
_qqt631433326255,4.0,2017-08-30 21:29:24,上菜速度很快，菜也新鲜，感觉味道一般。
兰7104,3.0,2017-08-30 11:48:03,菜价有点小贵，用了美团，就不能参加😔
RIU882675989,4.0,2017-08-20 15:20:14,性价比不高，味道还不错。
RIU882675989,4.0,2017-08-20 15:16:37,锅底味道还不错。
匿名用户,1.0,2017-07-29 20:11:58,"两个人吃了快400,也没有多少菜。菜也都是冰冻的不新鲜。吃了五分钟店里空调又坏了 服务员态度也不好………"
