区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
_qqvkx1330042184,5.0,2015-10-03 13:06:34,这是我们吃火锅的老地方，好吃，味道很正宗
aCg381139379,5.0,2015-09-05 08:47:25,一起一落雨后彩虹了？这么样东西湖龙井茶香水是因为太平洋、在这个网站测出你的心理压力过大。这样的士钱塘江，我们自己去。这个月底
_qqzxt1402120204,3.0,2015-09-29 12:05:55,上菜速度快，菜品还可以吧，环境一般般。吃过两次
gHr15589756,5.0,2015-10-01 10:01:02,味道很好，环境也不错，服务也很不错
_qqzxt1402120204,3.0,2015-09-29 12:03:11,环境一般般，味道菜品都还行。吃过两次了
qms787892996,3.0,2015-09-27 12:20:58,好辣，超级辣，好好吃，不错，喜欢吃辣的一定要去
KE焰,5.0,2015-08-30 20:00:26,味道很好，菜也新鲜，吃得好饱，好评！
mQk239140902,5.0,2015-09-29 21:28:30,店子有点老，但口味不错。价格一般。
匿名用户,4.0,2015-09-14 16:31:56,位置离家很近，去的时候很好，恰好不用等位，上菜速度很快，口味很好，很长时间不吃火锅，这次吃一点都不失望。
CfC891243978,4.0,2015-09-27 17:05:50,经常去吃，还不错吧！很喜欢它们家的调料，真心好吃，下次还会去
monicabairu,4.0,2015-09-25 12:51:57,第二次去了，味道还不错，两个人吃很饱
lf19790720,3.0,2015-09-28 08:52:31,口味不错，经常来吃，辣的地道！
llyana2x,3.0,2015-09-27 00:56:04,还可以，量比较少，二个人差不多
lf19790720,3.0,2015-09-28 08:51:29,朋友聚会，口味不错，辣的够味！
yfsheng1999,5.0,2015-09-26 10:19:26,来了两次，这个团购还蛮划算，也蛮好吃
匿名用户,3.0,2015-09-21 09:59:05,东西很少，口味一般，但是价格很实惠，自助饮料不好喝
Wby946169458,5.0,2015-09-27 11:43:46,菜品不错哦。生意很好的。去晚了要排队的。
匿名用户,4.0,2015-09-15 21:42:22,一直是临江门的老顾客，很喜欢他家的味道，团的票很划算，额外点了100块的菜，很好吃
匿名用户,4.0,2015-09-21 13:30:47,味道蛮好的，3个大人3个小孩，额外又点了100多的菜，吃得很饱，
oxw768139678,2.0,2015-09-24 06:48:09,环境还可以，自助调料很多，味道一般
tTf422821431,5.0,2015-09-11 17:15:40,环境不错，味道很正。喜欢吃辣的朋友一定要来尝尝肉。吃了两次了第一次没有团购花了三百多三个人
牛牛123852,3.0,2015-09-18 15:09:54,环境一般，上菜速度还行，二个人吃再点两个青菜就好了。
天堂掌控者,4.0,2015-09-22 10:20:54,味道好，服务员少，还可以，推荐
匿名用户,4.0,2015-09-21 08:00:05,服务态度超级不错，上菜速度很快，
appleskyyan,4.0,2015-09-21 19:20:32,很满意，吃得很过瘾，下次一定再来
hbshuxue311,4.0,2015-09-09 21:15:00,第一次吃，感觉还不错，就是量有点少，我们三个人吃的，不太够，又点了点儿其他的。
匿名用户,5.0,2015-09-19 22:47:00,带妈妈去吃的 很满足 下次再去
女超人S小姐,3.0,2015-09-12 13:03:35,只能说味道一般吧……至少没有想象中好吃 环境也一般的
毛毛890201,5.0,2015-09-15 10:41:56,团购很划算，4人稍微加点菜就够吃了，下次还来
RkU589423256,1.0,2015-06-09 18:58:01,客服还不错，打电话没找到地方还回访问情况，服务员太垃圾，就要一个解释（为什么价值二十六的酸梅汁在哪里）一直像个话唠一样也说不清楚，还告诉我酸梅汁就是乌梅汁，如果你不高兴可以投诉，好牛逼哦！这么大的店连个管事的都没有吗？让服务员撒野
Melbourne静,4.0,2015-09-02 09:14:53,已经第二次去吃了，人气爆满，下次早点去，口味应该是比较正宗的重庆口味，调料味道也很好，忘记拍照了
刀锋2028,4.0,2015-09-15 21:45:39,味道不错，喜欢吃川菜的可以来吃，上菜也很快。
ScJ797686227,5.0,2015-09-08 08:10:25,和四川的朋友一起去吃的，味道很好，服务也很好，很热心，就是点多了，没吃完，太可惜了……
D12673367,1.0,2015-09-14 10:33:11,一般吧 在那边办事随便吃吃的。
OK寒冰,5.0,2015-08-28 14:59:39,特别好，汤够辣，真的很推荐，辣锅加冰啤，这酸爽
oxw768139678,2.0,2015-09-10 12:48:17,我们要求换个位置，很痛苦，厕所位置的檀香味真心不好闻。
gbf758501109,5.0,2015-09-14 16:15:20,还行吧，两个人吃能剩下……挺多的
匿名用户,2.0,2015-09-15 00:20:00,味道一般吧，量还比较足，值得吃的
yfg477845351,3.0,2015-09-13 15:18:01,味道不错，只有吃火锅一定是他家
macaroni,3.0,2015-09-09 23:44:44,总体来说菜单的价格还是吓人的，
匿名用户,4.0,2015-09-05 13:42:14,还可以吧，就是大家不要真的四个人来吃，我和我妈吃刚好，两个女生的量。
匿名用户,5.0,2015-09-11 05:42:00,一直来吃 喜欢汤底的正宗川味 够爽
TRn971950222,4.0,2015-09-10 13:52:25,味道不错，团购108两个人吃的很饱！
忠鑫屁,5.0,2015-09-11 18:21:45,一如即往的好、反正很符合我的口味，
jenny71713,1.0,2015-09-12 17:16:05,碰到个不讲理的收银元员，真无语了
Penny彭儿,3.0,2015-09-10 15:23:44,不错，来了好几次了，吃的饱饱的
待续lp,2.0,2015-09-04 23:19:20,点的麻辣锅底，感觉太油腻，三个人去吃的， 第二天集体拉肚子
栀子花开368,5.0,2015-08-30 17:07:19,味道很好，由于地理位置人不是特别多，但是味道是真的好，而且价格实惠，推荐
Christal.yan,3.0,2015-09-01 20:04:24,挺满意的，菜价稍微有点高，不过味道还不错，去的时候人挺多的～好评
殊小沐沐,2.0,2015-08-29 20:40:14,换了几次位置，因为空调上都是灰，希望商家对卫生问题多多注意点，饮料还是挺多的。
Hmmmmmmh,4.0,2015-09-05 20:36:34,就这样 偏油 味道一般 价格还行
dSW241500583,3.0,2015-08-27 20:44:29,买的团购，7个菜：鸭血，肥牛，猪肉，豆皮，宽粉，筒蒿菜…2个人吃，又点了3个菜，总体还可以的吧。
匿名用户,4.0,2015-07-07 02:39:50,此团购跟代金券只能二选一使用。大致估计了下，似乎还是团购比较划算。团购的菜，量上一般性，四个人吃根本不够的，需要另外再点蛮多，反正我们四个人，另外点了两百多。锅底要了鸳鸯锅，辣的那半个锅有点略辣（湖北人表示辣，就真的有点辣了）。菜感觉都还好，反正火锅嘛，味道都差不多，看着涮就行。服务员有点少，叫半天也没反应的。
再回首lf,4.0,2015-09-06 20:44:15,一如既往的好吃。味道正宗，鲜！
nie雨萱,2.0,2015-09-06 09:56:37,还可以 菜品还是蛮多的我们四人团购 还可以
匿名用户,2.0,2015-09-03 16:28:15,还行吧，比较好找，单点了一点比较贵
天才文君2.0,4.0,2015-09-04 15:27:39,还真滴不错，吃胖了不错⊙▽⊙！
周雨潼777,4.0,2015-08-24 09:49:14,很不错的，环境也不错，我和老公两人吃，吃的很饱，味道也不错，有重庆老火锅的味道，下次还会来。。。
WYF来也,5.0,2015-08-10 10:42:47,真的是n次去吃了，越吃越喜欢，尤其是他家的调料，品种好多，会继续关注的。打算这星期还去一次，嘿嘿#宽粉# #油炸豆腐皮# #年糕# #重庆鸳鸯锅#
匿名用户,5.0,2016-01-13 17:11:46,环境不错，菜品也挺新鲜，调料酱也很香
Nvh925867508,2.0,2015-08-27 21:37:54,不好吃，想再来了，服务不好，菜也不好，该死的贵
GoG909933240,3.0,2015-08-14 19:04:03,味道一般 还是喜欢吃四川的宽扁凳火锅里面穿白衣服那些人很喜欢盯着别人看 好像没事干一样 无语
iIv630454130,3.0,2015-07-12 19:18:17,菜有点少！！团购四人份必须在另外点，不然不够吃
老郁yu,3.0,2015-08-26 20:47:43,不错，两个人吃的很撑，适合3个人吃
aliceyan69,5.0,2015-08-27 18:13:47,很不错，值得关注！就是停车不方便！
_baidu5794305436,4.0,2015-08-04 07:23:28,一直在这家吃火锅，味道没得说了，绝对的正宗。我们是中午去的，人比较少，不用等位，上菜速度快，菜量还可以，值得推荐！
dy3261,3.0,2015-08-17 19:11:48,大热天的吃火锅的人超多，我们去的时候还排队。团购价格真的划算。
听从你的心,3.0,2015-08-24 18:15:56,味道品质好，服务周到好，环境好。
匿名用户,5.0,2015-08-19 20:41:52,非常划算的套餐，环境不错，服务也很好，人不算多，吃的很开心
匿名用户,3.0,2015-08-13 10:30:24,菜品好，菜量足，新鲜，服务态度一般，要什么东西需要重复叫几次才拿来，环境一般
Swb683185550,2.0,2015-08-23 22:58:50,都比较一般，还是不团购自己点比较好
匿名用户,1.0,2015-08-16 16:13:56,百度糯米86块钱，美团108块钱，然后使用了之后还不能用糯米的代金券
lock2014,4.0,2015-08-23 23:55:25,评价的晚了，去了几次，味道不错，加油
pyn120602,3.0,2015-08-22 11:57:29,去的时候人多，所以服务可能不太到位！味道还成！
再回首lf,3.0,2015-08-21 11:17:41,火锅挺好吃，环境太吵。酒水太贵。
BlingBling.911,3.0,2015-08-16 17:19:42,还挺好吃的，就是有点太辣了，两个人吃就太多了，三个人应该差不多吧。
小酷石,2.0,2015-08-16 12:11:43,芝麻酱有点浓，个人不是太喜欢，其他的还可以
匿名用户,3.0,2015-08-16 10:31:03,环境不怎么样，火锅底料超级辣，味道中规中矩。
匿名用户,5.0,2015-08-18 12:57:18,团购很优惠，非常给力，再接再厉！
UTr169761243,3.0,2015-08-15 23:28:42,味道还行 团购比较划算 周末需要等位
YjM13301766976,5.0,2015-08-12 14:10:41,团购物有所值，莱品、口味都不错，环境和服务也OK，值得再次品尝。
coffee305,4.0,2015-08-12 02:59:16,好几年，价格实惠，重庆口味，麻辣！不错，
Nicole99999,3.0,2015-08-01 22:10:39,这个团购其实两人份的量，三个人又加了119块，但胜在菜品不错，味道也好，推荐鲜毛肚，鲜鹅肠
_qqf6c1385105997,3.0,2015-08-12 09:04:33,来几次了，上菜速度快，希望菜品能有点变化
天才文君2.0,4.0,2015-08-07 12:00:12,还可以，环境还可以，味道也不错，就是稍稍感觉不够整洁
KFw359012302,4.0,2015-07-27 17:01:15,一直去他家吃的火锅，对于爱吃辣的人来说，超级过瘾。但是菜品没有太多变化，希望加点芝士包之类的。
贝贝409,4.0,2015-08-08 16:56:18,味道还可以，就是价格有点偏高！
峰席天下,5.0,2015-08-08 12:03:57,一如既往的好吃，就是一个字：值
Penny彭儿,2.0,2015-08-05 11:30:04,太辣了啊，好热的说，这个夏天不会再去了
k5可,5.0,2015-08-01 12:04:53,味道蛮好的，很正宗的，那天去满忙的
fNY949685104,5.0,2015-07-25 12:34:14,味道不错，略辣，喜欢辣的人估计超爱的。份量点的多了，吃得好撑。
cbl1984527,3.0,2015-07-18 22:33:40,离家很近的，不想煮饭的时候就来了，团购3-4的套餐两个人吃撑死了，味道很赞，要吃得了辣才可以的哦！
超女1,2.0,2015-07-24 22:45:22,环境比较吵闹，饮料是畅饮的，量还行。锅特别大。
BSg516511398,5.0,2015-07-25 02:33:10,喂你的剑锋、在？这么一来是因为自己不够优秀
Yzal,3.0,2015-07-27 10:39:04,经常去吃，感觉还是实惠点的选择
mzn44262366,5.0,2015-07-23 13:05:59,人少，特别好吃，团购我们三个人不够，还点了别的，
峰席天下,4.0,2015-07-19 15:22:49,好吃的味道，很正宗，让他们少麻少辣真的好难
uIK418386220,3.0,2015-07-17 09:36:17,去了好几次了，味道还行吧！这次吃了不知道为什么会拉肚子了！
忠鑫屁,3.0,2015-06-29 08:20:44,口味还是很好的。已经来过几次了。就是服务每次都不满意，包括百盛店的。不知道老板跟领班是怎么管理的？服务员是直接接触顾客的。差差差
Ktr713437461,4.0,2015-07-17 19:25:02,菜上的挺快的！服务态度非常好！就是不够4人吃；口味很好.
hJU479930701,3.0,2015-07-19 20:41:41,不错，味道不错的，服务也不错的，环境也还好
小肥嘟,4.0,2015-07-18 11:41:32,团购很划算，我已经团过三次了，还是比较满意的！
rNu643912134,5.0,2015-07-18 21:28:00,好  吃过很多次了 非常好 强烈推荐
匿名用户,4.0,2015-07-16 13:22:46,还可以吧，环境还好，服务态度一般，菜还可以！
ABu493348486,4.0,2015-07-16 21:29:01,好好已经不止一次去了，团购合算以后还会去
michelin1707,5.0,2015-07-11 12:26:31,去了早了，等了一会，服务员态度很好，火锅味道不错
你管我11111,3.0,2015-07-16 08:22:28,还好，已经去了N次，味道不错。
狸猫泡泡,4.0,2015-07-08 20:56:53,味道很正中、服务也很热情、菜比较新鲜、挺满意的、
VVS521057687,2.0,2015-07-08 11:01:50,说四人份其实也就两人吃吃吧！味道没想象中好吃！
酷酷的韩,3.0,2015-07-10 14:53:54,价格稍贵 态度不怎么滴。一般吧
aa若,5.0,2015-07-08 17:58:14,很好哦，味道够辣，很有重庆的味道的哦
XZC522618744,2.0,2015-07-06 15:13:54,一般吧，我们主要当工作餐随便讲究吃下
大名被占用了,5.0,2015-05-14 22:17:48,菜量有点少！二个人吃的有点撑！还有好多肉没吃完…不过三个人吃有点少
zj19810206,5.0,2015-06-29 19:28:37,味道很正宗，鸡鸭血鹅肠强力推荐，还有毛肚
FyP101872661,4.0,2015-06-21 12:15:33,辣汤够辣，牛肉很老吃不动，羊肉和火腿肠很好吃，价格实惠，偶尔吃吃还可以
匿名用户,3.0,2015-06-20 15:41:17,比较常去的一家店，味道不错，就是环境有待改善，从第一次去至今十几年来没什么变化。
Mid135985862,4.0,2015-05-10 18:34:00,可以接受的，口味还是可以的，就是量有点少！
Hero1941,3.0,2015-06-22 16:48:59,去的时候人不多，服务挺周到，饮料免费
WYF来也,5.0,2015-05-31 08:51:29,经常去吃，特别喜欢他的调料，都是非常辣的，喜欢成都火锅，够味
duoxiai88,2.0,2015-06-20 10:46:48,菜品真心很少两个人吃还差不多吧！
MeiYaFeng,5.0,2015-06-16 19:47:17,葫芦特莫吃死咯哪去了不提看呢在这里沙漠
SQK555643120,2.0,2015-06-10 22:43:33,性价比较高，两个人够吃，口味适中，免费饮料，还可以
George_6666,4.0,2015-05-30 17:18:14,总体而言还是有重庆火锅的特点，量少很多，三个人吃相当于增加一倍量，可能是我们味口大原因
_alipay498944275,2.0,2015-06-15 09:53:43,味道可以的，喜欢辣口味的会满足了
萝卜黄瓜也行,5.0,2015-06-13 12:51:02,还算不错   主要是到那感觉跟在重庆差不多
Ody194523209,4.0,2015-06-13 12:51:02,味道蛮正宗的，已经是第二次来了，好评！
mandy5921,2.0,2015-06-02 21:09:34,一般般吧，觉得环境一般，酱料不好吃，量蛮大的，但是卫生情况不好
吃的不算太多,4.0,2015-06-06 14:13:39,两个人吃的太饱了，服务员态度也很好，老板很帅
yfg477845351,5.0,2015-06-05 10:03:45,团购很划算 火锅味道特别好 很远跑过去吃
徐祯48,5.0,2015-03-24 19:51:06,我是和男朋友一起来吃的，菜的份量很足，我们两个人吃撑了，都还没有吃完。价目表上的价格是标准的价格，没有提高价格，很实惠。菜的种类也不是很少，我最喜欢肥牛和蔬菜盘了，肥牛的量很足，我要的锅底是麻辣的，吃起来很爽，再配上冰镇的饮料，真的很美味。#临江麻辣锅# #特级肥牛# #四川粉条# #酸梅汁# #羊肉卷# #时蔬拼盘# #午餐肉#
_weixin338471843,3.0,2015-06-08 17:05:04,口味还可以，就是环境有待提高改善一下！第二次来！
土豆丝364,5.0,2015-06-08 15:40:49,味道绝对巴士。有老重庆风味，；
匿名用户,5.0,2015-03-18 22:21:00,环境就是感觉太挤了，吵。闷热。味道很正。这个团购四个人是不够的。我们两个人吃都差不多了。只剩了一点点，三个人应该吃不饱。酱料也很多。可以自己调配。建议点一个清汤类的锅子，再自己配辣酱。这样口味淡的跟口味重的都能满足！
ByN641044396,3.0,2015-05-14 22:41:54,火锅味道是很地道的，真是好，环境也是可以，服务态度一般，菜量有点少，3-4个人根本就不够吃，要在翻一翻才能够。希望菜量能够多些，谢谢！
匿名用户,5.0,2015-06-05 14:35:27,很好哦，调料够味！又便宜！超好吃！
vianl,3.0,2015-06-05 16:03:17,去过很多次了，味道一直不错，够辣
小肥嘟,5.0,2015-06-03 18:04:59,锅底很好，味道很正！这个价钱，挺值的！
骑猪等风,3.0,2015-05-04 10:28:07,特意来这家感受下和重庆的区别，觉得团购不是特别划算，菜品还算新鲜，服务也很热情，环境也很好，因为是上海，所以价格很贵，建议各位可以去重庆品尝，哈哈。
jLL228982785,5.0,2015-05-29 11:54:32,不错，服务很好，菜也好吃，特别是粉条味道好极了
haha474677010,4.0,2015-06-01 21:58:03,味道还行，当天去有点吵，服务还需提高
带你去兜风M,4.0,2015-05-29 11:54:32,服务员态度不是特别好.需要改善
zj19810206,4.0,2015-05-23 08:22:03,经常去的一家火锅店，一如既往的支持
有你好幸福zjd,4.0,2015-05-18 20:49:29,菜量十足，口味也很棒，服务也不错，值得推荐
tvW726711647,4.0,2015-05-17 14:20:15,味道还行，大概人太多服务一般，不过经济实惠。
yfg477845351,3.0,2015-05-17 00:47:15,菜品很丰富 味道不错 团购很划算去了很多次
文文哥要逆天,4.0,2015-05-17 22:21:53,正宗麻辣，过瘾，团购很划算，经常去吃
匿名用户,5.0,2015-05-14 22:41:53,超级喜欢#油炸豆腐皮# 自助的酱料也很棒，豆子超好吃~
Jtu483361334,5.0,2015-05-14 22:41:53,味道不错，环境也好，价格适中，可以多次去消费
jhh759644993,5.0,2015-05-08 10:22:13,很好。味道还是一如既往的好。适合重口味的同学。怕辣的还是不要，吃了。
StartHappySmile,5.0,2015-04-21 20:55:55,服务员太少了。忙的人家不可开交。两个人吃得撑。三个人吃饱。四个人就要加菜了，总体还算过得去。味道蛮好。下次去弄清汤锅。总感觉油不对
Ellva_,5.0,2015-05-02 17:24:35,菜品4个人吃明显不够，两个人吃的饱饱。并且菜不调不退，有点郁闷。其他都还好。
MwD526685626,3.0,2015-05-10 20:49:32,很好吃的火锅，价钱实惠，朋友聚会好去处！
匿名用户,3.0,2015-05-10 16:54:48,东西挺好的，吃了很多次了，4人餐，只够两个人吃，
AoN504000260,5.0,2015-05-11 18:48:24,感觉还可以吧，免费饮料还不错！
EOy149062509,3.0,2015-05-10 20:20:17,环境一般，过去等了一会！味道不错
yUi125584257,5.0,2015-05-13 11:47:24,好               吃
swB337591601,1.0,2015-04-28 17:03:41,酸梅汁一扎26元 饮料是免费 坑爹了吧  菜的口味 呵呵 相当差  给你100个差吧 去的是七宝那家
panhaiqing51,4.0,2015-05-04 15:02:42,味道还不错 双色锅辣味十足 实在吃不消辣的 只能吃不辣的 值得品尝
匿名用户,5.0,2015-05-09 17:49:31,好吃，很正宗，一直在这家吃，交通也还行
cpc0442847347955,5.0,2015-04-21 20:39:06,菜很新鲜，味道不错。环境一般，生意好像很好哎。#宽粉# #临江嫩牛肉# #毛肚# #炸豆皮# #重庆鸳鸯锅#
hif470269583,5.0,2015-04-20 12:47:32,菜的味道不错，调料味道也可以，环境总体不错，服务员态度也好。就是整体空气可以再流通点就好了，希望改进。
zj19810206,5.0,2015-05-03 14:29:42,很正宗的重庆火锅，吃的不会腻，去了很多次还想去
天才文君2.0,5.0,2015-04-28 07:35:57,还可以，团购比较便宜！和同学一起去吃，吃的人还挺多！
好吃宝134520,5.0,2015-04-30 22:23:42,不好吃，吃了拉肚子，服务态度也不好，只顾自己聊天
Wdk543934459,5.0,2015-04-26 13:33:43,味道好，干净，吃很多次了，就是分量有点少，其他还可以。
sft130573824,4.0,2015-05-05 18:28:21,口味可以，考虑再来，比较划算吧！
yangl0715,5.0,2015-05-06 23:09:42,好吃无道理，味道很正宗，标准的重庆味道
cseve123,5.0,2015-04-28 11:57:03,好辣，还有续杯不错，价格也还好
EbC913391741,5.0,2015-04-30 11:51:12,"味道不错，值得购买,下次还去！"
匿名用户,5.0,2015-04-24 18:49:51,环境不错，就是靠窗的位置有点挤，味道还可以，味道挺够味的
KPQ450764686,5.0,2015-04-11 13:28:30,四人份真心不多，五个人另外又加点了一两百了，其中两份担担面，红红的一片，微辣的也超级辣，虽然味道还是很不错的
vHt65675728,4.0,2015-04-12 23:22:02,和老公，姐姐一块去的，都说味道挺正宗的，就是分量有点少，三个人有些不够吃，我们另外加点了5份菜.
匿名用户,4.0,2015-04-05 19:29:29,菜和口味很好！服务只能说还行~进去走路就会发现路面很多油，房间的火锅味道也很重，估计只有四川人会来吧
Cherry俞Q,5.0,2015-04-15 07:34:41,挺好吃的 3个人 另外点了几个菜外加了171元 味道可以 好像35一盘虾就8个
yangl0715,5.0,2015-04-20 20:35:20,绝对是超值，非常正宗的重庆味道，值得推荐
彭科宁,5.0,2015-04-19 01:19:14,4个人吃了很多，团购划算。服务员也很漂亮
匿名用户,5.0,2015-04-24 18:49:52,菜量足够，味道还行吧，就是环境不怎么好。
你管我11111,5.0,2015-04-09 10:27:49,味道真心不错，已经去了好几次，服务态度一般，环境也是一般！主要菜好吃
Vkg262556953,5.0,2015-04-21 17:08:27,最爱去的，还要加份担担面，一想就想去吃
匿名用户,5.0,2015-04-16 19:43:19,味道挺不错的，和朋友吃的挺开心
Txc679592017,5.0,2015-04-15 22:07:59,还好吃，经常来，不同问题不同地方的一样。
Txc679592017,5.0,2015-04-15 22:04:52,很好，味道很好，以后还会来，天天。
HUG604980229,4.0,2015-04-21 20:56:57,口感非常好！菜非常新祥？！可以
匿名用户,5.0,2015-04-13 07:14:08,推荐是推荐，服务比较好，就是太辣了，微辣都遭不住
WYF来也,5.0,2015-04-08 14:55:44,很喜欢，第二次来了，真的够味，还会继续去的，菜品很多，两个人吃的很饱
fushidashi,5.0,2015-04-07 01:54:39,味道正宗，就是停车难了点，不过可以停到对面的乐购。去吃的时候人蛮多的。看来大家都很喜欢。
莹莹的约定,4.0,2015-04-07 01:54:40,一如既往地好吃，来吃了好多好多次了，只是吃完会拉肚子，肠胃不好地慎重
小石头字,4.0,2015-04-10 12:58:36,不错的选择，就是停车很不方便！其他都还行！
leebbjl,5.0,2015-01-28 19:43:34,很不错，已经来过好多次了，很喜欢这个味道，最喜欢他家的料，白芝麻是我的最爱，一个字棒，吃火锅就认准这一家，下次还来哦！还要介绍更多的朋友来！服务员也是很棒哦，还会逗我家宝宝，有种宾至如归的感觉，棒！棒！棒！非常棒！
TtT342609369,4.0,2015-04-06 14:28:53,环境一般偏下，上菜速度蛮快，最主要就是便宜。
MhU555639015,4.0,2015-04-06 10:42:09,很正宗  味道也不错 但是这是两人份的  而且有时候用不了也没提示
勾魂法师,3.0,2015-04-06 13:07:18,不错，除了少就是少，除了吃不饱就是吃不饱，除了价格高就是价格贵
TtT342609369,4.0,2015-04-06 14:28:04,便宜，除了便宜，其他没什么突出的优点。环境一般。
TtT342609369,4.0,2015-04-06 14:30:25,便宜，还是便宜。其他的没什么优点。就是便宜！口味一般。
_qq4cd1361216853,5.0,2015-01-30 20:50:31,不错，味道合适！和自己在重庆吃的口味差不多。价钱方便也可以，八个人一起吃了五百多块钱。菜的份量也够。下次还会再来的，就是没有得送的优惠券有点可惜了。
匿名用户,5.0,2015-04-03 18:10:56,菜量不是很足，三个人吃的，没吃饱，其余都还是不错的
wJR762967906,5.0,2015-04-06 15:09:14,挺好吃，重庆特色。味道正宗，而且挺划算的！
JIN103295381,4.0,2015-04-06 13:25:03,味道很好 有回到家乡的味道 加油
匿名用户,5.0,2015-04-01 22:53:27,一直在他家吃，两个店都有吃过，味道绝对很，团的两个人刚好
匿名用户,4.0,2015-03-27 07:23:31,差劲。里面环境太闷，四人餐最多最多三个人吃不好。我们两个人。另外点了不少
Wdk543934459,5.0,2015-03-31 01:38:43,味道还可以，调料味道不错，去几次了，服务员态度不咋滴！
qrG104116960,4.0,2015-04-07 01:54:39,还可以吧，两个人吃不掉。。。。。
dYi324415151,4.0,2015-03-27 13:40:56,蔬菜很新鲜，就是量有点少，服务很周到，推荐菜#炸豆皮# #酸菜鱼# 。
珠珠来咯,3.0,2015-03-20 10:45:33,锅底味道挺不错，但涮菜的量真心的少少呀，一份三十几元的丸子拼盘就只有12颗
sfugss,4.0,2015-03-29 06:09:28,菜量太少，2个人都不太够，味道一般吧
匿名用户,5.0,2015-03-29 23:04:33,味道还行。服务态度不是很好，需要改进！
不再年轻308,5.0,2015-03-06 12:21:17,朋友是湖南人说这得辣味很纯正，就是团购说三四人吃都够，其实两个人差不多，剩下下的自己再点菜，饮料免费的，不过下次还会来，吃的就是这里的味道
QIU1234567890,5.0,2015-03-21 17:43:54,第一次去口感卫生都不错，服务也周到，团购也划算，以后会经常光顾的
狼行成双腐败,5.0,2015-03-19 16:00:09,味道不错，但是环境，一般，但服务员的态度还是很好的。很正宗的重庆火锅味道
兰兰虞,5.0,2015-03-25 10:01:50,还不错，味道蛮好的，就是分量不是很多，下次还会去的
kelvin115,5.0,2015-03-22 21:31:55,团购总体不错，只是有些配菜不好，推荐辣锅，非常到位
匿名用户,3.0,2015-03-23 07:35:50,味道一般 服务还可以 不清楚为啥这么多人
iaQ110328202,3.0,2015-03-18 15:23:28,不好吧，一般，老关火。怕用你家的煤吗？吃的饱，三个人又加了60多块的菜
andy009c,1.0,2015-03-22 12:00:39,两个人去吃，回来都拉肚子，而且非常严重。下次不会去了～
如若浅止,5.0,2015-03-20 10:26:07,好吃，第二次团购了，很喜欢豆腐皮，整体都不错
匿名用户,3.0,2015-03-13 18:07:25,味道正宗，服务也不错，装修旧了点，卫生一般，由其是塑料杯子喝饮料，用不习惯。
米添醋,5.0,2015-03-10 19:55:09,吃的是辣的锅 味道很好 很正 饮料是免费的 只是团购的3-4人餐 两个人吃刚刚好 羊肉和牛肉挺正宗的 血也很新鲜
IpB105979518,3.0,2015-03-20 19:43:16,一般，都一般，主要还菜（比起量来说）比较贵，只是这样
匿名用户,3.0,2015-03-16 17:01:15,环境一般，挺贵的，量很少，两个人吃才刚好
Ericandwong1987,5.0,2015-03-12 08:24:41,一般般，，中辣太呛了，份量很少，价格很贵，饮料不好喝
zj19810206,5.0,2015-03-15 10:17:48,味道不错，就是环境差了点，可以重新装修了
ivessong,5.0,2015-03-19 16:00:09,挺不错，鸳鸯火锅的，挺不错的o，
uIK418386220,3.0,2015-03-21 00:01:36,四个人吃了，我们去了二个人！感觉只能二个人吃，刚好！
Melbourne静,5.0,2015-03-21 10:51:56,很地道的口味，三个人吃的，很划算，还会再去
马坤婷,5.0,2015-03-10 19:54:00,一直吃火锅的首选店，味道好吃，
匿名用户,5.0,2015-03-08 14:27:44,味道比较好，很不错，很不错，很不错
Wai212989701,4.0,2015-02-08 23:57:18,一般啦，味道很麻，环境一般，说是四人餐，但我们两个大人，一个儿童都不够吃，菜品分量很少，可能觉得是团购的原因吧，不合算不如去吃自助餐。
BLS288134925,4.0,2015-03-18 15:24:09,团购消费刚还可以，服务态度不错，来了很多次了，女朋友很喜欢免费饮料……
匿名用户,4.0,2015-03-07 22:06:31,一般般大爷的那你呢奶奶的舅舅家
匿名用户,5.0,2015-03-15 13:29:36,味道相当不错，火锅就该这样，很好吃，期待下次能再去！
Jade128,3.0,2015-03-02 11:39:34,点单等候时间太长，环境不太好，很吵，地面很滑.
亲亲的小鱼鱼,5.0,2015-02-15 13:10:49,好吃，中辣实在是太辣啦！团购写的四人份，我们三个人去吃都不够，还有点了快一百的东西…有点不合实际哈
alfa5542,4.0,2015-03-01 09:44:54,味道一般 人均价格不便宜 环境还可以
匿名用户,5.0,2015-03-18 15:25:23,味道相当不错  一个套餐就够了
匿名用户,5.0,2015-03-18 15:24:09,非常棒的火锅，味道很正，同事也喜欢，去了好多次了，给个赞！
Vkg262556953,5.0,2015-02-27 17:06:40,和闺蜜每次聚会必去，不错的地方，味道也很好
qq_dollar,5.0,2015-02-25 13:46:30,去过太多次了，份量够两人吃的，比较正宗的重庆火锅
pSy482185858,5.0,2015-02-27 15:12:00,团购不错，经常吃他家的 ，就是这个分量不够吃
