区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
匿名用户,1.0,菜品肉类很差，肉都是散的，环境很一般，超级难吃
gremory944,3.0,菜量可以，比较新鲜，小料一般。。
瀚海寻源,5.0,味道不错的，还是春节去的呢
OUa686094802,5.0,味道鲜美！
红时559,5.0,菜品多肉多好吃
NZu180044469,4.0,两个人吃正好，值得推荐
xina1,5.0,味道不错
xina1,5.0,味道好
Mqa161789285,4.0,比我想像中的差一点，而且位置比较偏僻，但是人很多，都坐满了，服务态度一般，味道也一般
DHv290673244,1.0,特别是老板，店大欺客感觉到客人豆无所谓
dkq964467801,3.0,半醉半醒就是觉得斤斤计较斤斤计较你呢
匿名用户,1.0,少的可怜 肉一煮就碎 套餐不靠谱，！！
kgV404815591,1.0,美团价格竟然比饭店价格还要高！那我用美团何用？别的就不说了，清汤锅美团48，店面25。而且饭店服务态度极差，上菜慢，没有应答！美团给个合理解释，要不我就天天来留言。
匿名用户,4.0,两个人吃正合适，冬天天气冷吃火锅暖暖的！
俊亲王,5.0,推荐，
匿名用户,5.0,服务态度很好！
匿名用户,3.0,偏贵，味道还可以，环境不错，，，，， #精选小肥羊#
uDG323847190,5.0,火锅底料虽然白水，但是非常健康、肉的鲜味突出，味美肉鲜，美美的！好评
落霞天色,5.0,很实惠
匿名用户,4.0, #金牌羔羊# #东来顺手工鲜羊肉# #精选小肥羊# #白百叶#
Cwn437843402,5.0,真的很不错，价格合理，味道不错。
貌美如花猪蹄er,5.0,不错
paodantongzi,4.0,还行，一家三口吃量正合适，刚刚好，肉也不错。菜也够新鲜。最大问题是辣锅不够辣，吃着没什么味。希望以后能改善下这点。
WVP139405317,4.0,正好住附近团购一个套餐很划算
王家二小姐i丫,5.0,今天去吃了。非常好吃，特别是肥牛和牛上脑。口味不错。菜品新鲜
GuA885203385,4.0,好吃，买团很合适
Ozs950368847,5.0,谢谢东来顺，让我跟我家里有一个完美的聚餐，非常开心一家坐在一起！感谢！ #烧饼# #东来顺手工鲜羊肉# #精选小肥羊# #金牌羔羊# #肥牛上脑# #精选羊上脑肉#
通号人,2.0,酒水很贵，建议自备一份玉米汁要50块钱
cLN281756569,1.0,先不说吃的怎么样  服务真心一般  要个杯子也得求爷爷告奶奶 半天拿上来
Pei202102317,5.0,"【口味】
【口味】
【口味】 #东来顺手工鲜羊肉# #精选小肥羊# #金牌羔羊# #至尊肥牛# #精选羊上脑肉#"
刺绿萝,3.0,口味很不错，去的时候虽然不是周末，但人很多。
kLc182977354,2.0,不符合南方人的要求，调料少，居然不懂什么酱油。
匿名用户,3.0,味道还可以，价格还算合理，上菜快服务还好
一团小懵懵,5.0,口味好，羊肉口感一绝！还会再来的
是小宋同学吧,3.0,还行吧，感觉一般般~酱料蛮可爱
fzw485657295,5.0,好吃实惠
FoJ138707313,4.0,菜品口感好，服务热情周到，还会再次光临
tracyshin,4.0,2人餐特别实惠，两个女生吃有些多。不过单点的玉米汁有点贵一扎48元
匿名用户,3.0,服务员属实不咋地  地儿离公司近方便。
北剑2013,5.0,老字号
匿名用户,3.0,不错 位置好找 味道不错 态度也不错 环境不错
wangfei19851226,5.0,有名的老北京火锅，味道真的不错
WENDY_kyu,5.0,味道很好 和其他东来顺比起来价格更实惠！ 菜量很大这个套餐 #烧饼#
铁打的汉子L,5.0,在世界公园门口挺不错的，爸妈来北京玩吃一次北京老火锅。
pYr806791895,2.0,"烧饼不错！肉特别的膻气
【环境】还可以
【服务】也可以"
AgX18201579697,2.0,4人餐，里面竟然没有饮料类的？？难道你让四个人干吃火锅然后喝白水？？单点一壶五谷豆浆吧，竟然要60多块，味道寡淡的跟兑了水一样，你怎么不去抢？
Ai、zhao,4.0,好，很好，非常好！！！
匿名用户,4.0,菜还可以，够吃。不过服务不太好，锅底直接拿底料上来我们自己热，呵呵。
Yja519852495,4.0,环境很不错，味道也很好。建议大家去尝一尝。
cDK844386138,4.0,还不错，就是麻辣感觉不辣，哈哈
nvt828897307,2.0,都说来北京一定要吃东来顺 但可能期望越大 失望越大 团购的牛肉和羊肉一煮都很碎 辣汤也没味 蔬菜一般 杂面和烧饼还行 就那个丸子挺好吃的 环境还不错  服务不好所以不建议大家团劵 如果舍得花钱人均120-130就到店单点 我看别桌单点的肉还可以 最后一张图乱入哈哈哈
匿名用户,2.0,只要是美团定的，服务员都不带朝里你的
趣步大梅子,5.0,肉嫩，味道鲜 #白百叶# #精选羊上脑肉# #芝麻烧饼# #自制豆浆#
