区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
bHv958193994,5,口味不错，环境安静，服务周到，最后的炒饭都换成水果了。,,,,,,,,,
A小尾吧,5,最爱吃的还是五花肉啦。今天又尝了他家牛排，超赞的,,,,,,,,,
匿名用户,3,服务周到，环境不错，菜量可以。,,,,,,,,,
aizaijiajia,5,团购太划算啦！烤肉味道也不错～,,,,,,,,,
遥远亚平宁,5,味道很好，服务也很周到，团购套餐很划算，来过很多次了，推荐,,,,,,,,,
bHv958193994,5,好吃不贵，经济很实惠，我喜欢。。。。,,,,,,,,,
bHv958193994,5,套餐合适。  推荐南瓜粥。 土豆泥,,,,,,,,,
bHv958193994,5,烤肉不错。 服务不错。  还有免费小菜,,,,,,,,,
bHv958193994,5,很好吃，小菜也很好吃，去的早就不用排队。,,,,,,,,,
bHv958193994,5,服务非常好，店里干净，周末早点去,,,,,,,,,
bHv958193994,5,菜品口味好，环境舒服，服务很到位。,,,,,,,,,
bHv958193994,5,服务周到，热情，服务美女全程给烤肉。,,,,,,,,,
bHv958193994,5,环境不错，烤肉很香，在二楼电梯处很好找，以后还要来。,,,,,,,,,
bHv958193994,5,烤肉很好吃，泡菜炒饭很美味，服务也热情，老顾客了。,,,,,,,,,
自由鱼1314520,5,挺好的，老公一想吃就团购了，挺满意的不错滴,,,,,,,,,
OOd699446586,4,服务态度好，帮我们把肉全烤好了！还送了饮料和炒年糕！谢谢,,,,,,,,,
bHv958193994,5,挺好的，活动挺多，套餐超值，鲜五花，大酱汤不错。还会常来。,,,,,,,,,
bHv958193994,5,南瓜粥好喝，服务态度好，给赞赞赞赞,,,,,,,,,
qwe75611372,5,服务态度好，帮我们把肉烤好了，还送了饮料，谢谢,,,,,,,,,
bHv958193994,5,菜品和服务都很好，一顿很满意的用餐，,,,,,,,,,
bHv958193994,5,首先肉质很新鲜，服务很到位，还会再来,,,,,,,,,
自由鱼1314520,4,老公爱吃韩式烤肉，五花肉特别好吃，爱吃满意！,,,,,,,,,
Icepudding,4,味道还不错，两人餐吃的很撑，份量大，就是人多，要排号。,,,,,,,,,
bHv958193994,5,服务超好，五花肉很特色，强烈推荐。,,,,,,,,,
bHv958193994,5,团购很划算，吃的饱饱的，多喝了几碗南瓜粥。服务很满意，味道也很O,,,,,,,,,
bHv958193994,5,以前总来，味道不错，双人套餐足够吃了，环境优雅,,,,,,,,,
bHv958193994,5,服务员很主动，菜品很美味，各种小菜也很好吃，而且无限量添加，非常赞！,,,,,,,,,
匿名用户,5,口感不错！午餐好去处！无限小菜和南瓜粥很赞,,,,,,,,,
bHv958193994,5,三人去的，点的部队火锅，很好吃,,,,,,,,,
bHv958193994,5,来过好多次了，不错不错不错，服务很好,,,,,,,,,
qwe75611372,5,服务很好，肉很新鲜，南瓜粥好喝回常来，非常赞,,,,,,,,,
bHv958193994,5,环境很好，离家近，服务周到，常来,,,,,,,,,
_qqnd51430969121,2,还行，说的过去，我拉肚子拉了两天，虚脱了他那海鲜跟啤酒不能一起喝。,,,,,,,,,
bHv958193994,5,常来这家店，食材很新鲜，服务很满意，支持,,,,,,,,,
bHv958193994,5,很好吃，不过的早点去，服务挺不错的。,,,,,,,,,
bHv958193994,5,很好吃，不过的早点去，服务挺不错的。,,,,,,,,,
bHv958193994,5,味道很好，肉质新鲜，搭配合理，服务超好，也划算超值。,,,,,,,,,
bHv958193994,5,三个人去的，上菜速度很快，服务很好。,,,,,,,,,
bHv958193994,5,很热可这里的服务，菜品口味也好,,,,,,,,,
bHv958193994,5,很喜欢吃，服务也很好，尤其南瓜粥，还是免费的，烤肉也不错,,,,,,,,,
bHv958193994,5,南瓜粥什么的都免费，挺好，办理会员卡还优惠还能抽奖。,,,,,,,,,
张32011070033颖,5,挺不错的，就是等位时间太长了～,,,,,,,,,
Xve350068581,3,烤肉味道不错，人很多都需要拿号呢,,,,,,,,,
bHv958193994,5,和男朋友去的，二人餐挺超值，服务员给烤肉挺好的。,,,,,,,,,
猫_暗影行者,5,还是一如既往的量足，3个人吃的饱饱的，肉不是烤的感觉，铁板煎。,,,,,,,,,
bHv958193994,5,过了餐点才去得还不错，下次还去,,,,,,,,,
bHv958193994,5,吃了好几次了、特别好，没吃都很满意。。。。。,,,,,,,,,
bHv958193994,5,肉片很厚实，服务员服务到位，最后实在是吃不了炒饭了，换了果盘，棒棒哒！,,,,,,,,,
匿名用户,3,吃不惯，但是服务还好，毕竟性价比不太高,,,,,,,,,
_qq25s1436755160,3,都很满意。优惠力度有点儿小。希望能够更加实惠。谢谢阿姨在一个人就坐那,,,,,,,,,
qwe75611372,5,谢谢韩时烤肉的小伙伴   给我们烤肉   服务超赞,,,,,,,,,
hellowwy,3,店面环境干净 菜品味道不错 要是有烤羊肉就好了,,,,,,,,,
bHv958193994,5,非常满意的一次用餐，从服务，味道，分量，都十分满意、还会再来,,,,,,,,,
bHv958193994,5,味道不错，量足，吃的不错，服务也好，最好还送了果盘。,,,,,,,,,
bHv958193994,5,味道不错，有人烤方便多了，团购划算，服务也很好。,,,,,,,,,
pitoumao,5,很好吃很好吃很好吃很好吃很好吃,,,,,,,,,
用户5526626022,4,首先赞是服务人员，各个态度特别好，连着吃了两天，口味特别棒,,,,,,,,,
bHv958193994,5,强烈推荐强烈推荐强烈推荐强烈推荐,,,,,,,,,
bHv958193994,5,烤肉很精致，专门的服务员烤肉，环境干净舒服，服务也满意。,,,,,,,,,
bHv958193994,5,位置好找，不用排队，服务非常好，很主动的给我们加南瓜粥。,,,,,,,,,
qwe75611372,5,比较合适，够3个人吃的   服务不错    推荐推荐,,,,,,,,,
qwe75611372,5,南瓜粥好喝    过生日  还给放了生日歌,,,,,,,,,
bHv958193994,5,很棒的烤肉，很棒的服务，不用自己动手烤，只管吃就可以了，非常满意。,,,,,,,,,
bHv958193994,5,口味不错，服务很满意。个人喜欢炒年糕，五花肉，大酱汤。,,,,,,,,,
niaoniao_0617,4,赠送的小菜特别好吃，尤其是萝卜块超级赞。服务和环境不错。,,,,,,,,,
bHv958193994,5,在枫蓝国际吃的，量大，两人吃的饱饱的。,,,,,,,,,
bHv958193994,5,好棒的烤肉，支持，还会再来。。。。,,,,,,,,,
bHv958193994,5,周末的早点去，晚了会排队，口味超爱,,,,,,,,,
iWs152790602,5,小菜免费吃南瓜粥无限量喝真好  还会再来。,,,,,,,,,
bHv958193994,5,经常去吃，口味不错，服务很满意。,,,,,,,,,
bHv958193994,5,套餐很超值，服务到位，还会再来,,,,,,,,,
xmf126069571,5,很好吃的烤肉，服务质量超级棒，肉质也很棒，总之就是很好吃,,,,,,,,,
bHv958193994,5,味道服务都不错，就是来晚了要等位，不过服务真心的好。,,,,,,,,,
bHv958193994,5,很好吃，味道不错，服务也很好，很喜欢部队火锅。,,,,,,,,,
bHv958193994,5,好吃的，非常棒，人气很高、服务好，吃的棒,,,,,,,,,
bHv958193994,5,服务员很辛苦，给赞！！！服务超好,,,,,,,,,
pitoumao,5,好好吃好好吃好好吃好好吃好好吃,,,,,,,,,
bHv958193994,5,南瓜粥特好喝，还办了一张会员卡，服务员小李很热情的服务,,,,,,,,,
bHv958193994,5,好吃，服务也可以，给个赞！！！,,,,,,,,,
bHv958193994,5,6个人吃的，味道很棒、吃的很饱，超赞赞,,,,,,,,,
呜咪强,2,不合我的口味不合我的口味不合我的口味,,,,,,,,,
bHv958193994,4,经常去，感觉还是挺好的，服务也挺好，不错不错，挺好吃的,,,,,,,,,
bHv958193994,5,服务满意，菜品合口味，给赞。。。。。。。,,,,,,,,,
iWs152790602,5,好   去了很多烤肉店，这家真心推荐。以后再来。,,,,,,,,,
bHv958193994,5,来过很多次了，还是那么好。还会再来。,,,,,,,,,
bHv958193994,5,服务超棒，口味很好。。。。。。,,,,,,,,,
o舞玥儿o,5,每次去了小哥小妹都很热情，很喜欢的一家店。,,,,,,,,,
DOHA2,5,服务态度好，菜好，什么都好，超级赞！,,,,,,,,,
bHv958193994,5,人比较多，但服务相对比较周到，环境也不错,,,,,,,,,
bHv958193994,5,服务超好，超赞！！！！！！！！！！,,,,,,,,,
bHv958193994,5,团购很超值，服务员态度好，烤肉水平高。,,,,,,,,,
iWs152790602,5,服务超好，棒棒哒。棒棒哒棒棒哒,,,,,,,,,
匿名用户,5,蔬菜肉品都非常新鲜，不仅味美且量足！滋滋的烤肉，美味的酱汤....,,,,,,,,,
万乐乐乐乐乐乐,5,挺好的，大家都来尝尝，服务也不错,,,,,,,,,
bHv958193994,5,烤肉不用自己烤，肉很好，小菜无限量，服务周到。,,,,,,,,,
qwe75611372,5,味道不错    位置好找     推荐推荐,,,,,,,,,
qwe75611372,5,强烈推荐，赞赞赞赞服务很好  肉也好吃,,,,,,,,,
奇奇5208,5,这服务真是没话说～服务员非常热情～服务到位!菜品很好我们买的团购～服务员不会因为是团购而有所怠慢～菜量很大吃的很饱～真心推荐～,,,,,,,,,
刘鑫辰,5,最近吃的很满意的一餐了。有团购还算实惠。套餐两个人吃有点撑。还是三个人比较好。强烈推荐。,,,,,,,,,
Qpu642635705,5,挺好的  环境很不错  服务也不错,,,,,,,,,
sx77361,5,第二次来，小菜、南瓜粥、生菜无限量供应，虽然没多少钱，但感觉很好,,,,,,,,,
mlI740206078,5,东西很好吃，每次中午去我都点个五花肉拌饭,,,,,,,,,
乱心涩,4,味道还是那么赞，去了好几次，一直首选。,,,,,,,,,
bHv958193994,5,口味赞。。。。。。。。。。。。。。。。,,,,,,,,,
bHv958193994,5,非常好，，，，，，，，，，，，，,,,,,,,,,
bHv958193994,5,很不错的烤肉店，不用自己烤肉，吃饭很是享受，服务很到位，南瓜粥给,,,,,,,,,
匿名用户,3,味道不错，有人给烤方便很多，环境也还可以。到店消费和团购套餐啊差不多，可以随意选择,,,,,,,,,
o舞玥儿o,5,环境很好，餐具很漂亮，服务热情,,,,,,,,,
DlF146718232,4,经常吃，喜欢味道和环境。一如既往的支持。,,,,,,,,,
iWs152790602,5,服务超好，棒棒哒棒棒哒再来。。,,,,,,,,,
Qmg651684605,5,服务，菜品，都没有的说，下次大伙继续过来,,,,,,,,,
Nji926197992,4,时不常就来吃已经驾轻就熟了，看到第一次来吃啥都不懂还瞎指挥的人真是捉急啊。,,,,,,,,,
bHv958193994,5,很喜欢泡菜炒饭和五花肉，服务很棒，非常美味。,,,,,,,,,
bHv958193994,5,应好吃的，服务特别好，团购二人餐没吃完，很划算。,,,,,,,,,
bHv958193994,5,服务热情周到、还会再来，喜欢免费南瓜粥,,,,,,,,,
qwe75611372,5,服务很好，南瓜粥好喝   赞赞赞赞赞,,,,,,,,,
bHv958193994,5,真的超划算，很好O吃，服务态度也很不错。,,,,,,,,,
qwe75611372,5,五花肉赞赞赞   赞赞赞牛排好吃,,,,,,,,,
qwe75611372,5,服务好    土豆泥好吃   赞赞赞赞赞,,,,,,,,,
bHv958193994,4,来了两次了，味道不错，服务也好，五花肉很香。,,,,,,,,,
bHv958193994,5,三个人吃到撑，下次再来。五花肉太香了。,,,,,,,,,
xmf126069571,5,很好吃呢，每个月都会去一次，味道很好的。,,,,,,,,,
bHv958193994,4,第一次来，服务很好，很周到，口味也不错，会带家人来吃,,,,,,,,,
kysunnyyang,4,菜价比以前贵了，服务还是很好。,,,,,,,,,
匿名用户,3,菜品味道真还不错，吃着比较适口，服务也还可以，虽然人很多，但是都能尽量有求必应，环境可以接受。,,,,,,,,,
o舞玥儿o,5,服务热情，周到，南瓜粥好喝！！,,,,,,,,,
四叶草萱,5,调味牛排很好吃，特别棒，！！！！！！！！！！！！,,,,,,,,,
四叶草萱,5,特别棒，好，很好，非常好！！！！！！！！！！,,,,,,,,,
四叶草萱,5,套餐很划算，棒棒哒！！！！！！！！,,,,,,,,,
qwe75611372,5,五花肉真心好吃    赞赞赞赞赞赞,,,,,,,,,
iWs152790602,5,好好好还会再来  谢谢帅哥的服务,,,,,,,,,
四叶草萱,5,很好，老顾客了，很好！！！！！！！！！,,,,,,,,,
bHv958193994,5,服务员特别热情、南瓜粥特别好喝。,,,,,,,,,
bHv958193994,5,第二次来了，五花肉很好吃，很热情的服务。,,,,,,,,,
bHv958193994,5,就在家楼下，味道好吃，物美价廉。,,,,,,,,,
bHv958193994,5,挺好的，小菜免费，烤肉好吃，值得再来,,,,,,,,,
被套路者123,5,爱死辣！五花肉超好吃！离家很近棒棒哒,,,,,,,,,
四叶草萱,5,炒芝士米条很棒！！！！！！！！,,,,,,,,,
qwe75611372,5,很合自己的口味    赞赞赞赞赞赞,,,,,,,,,
qwe75611372,5,好好。。。。。。。。。。。。。。。,,,,,,,,,
bHv958193994,5,服务很好，肉很新鲜，南瓜粥好喝。会常来。,,,,,,,,,
qwe75611372,5,推荐五花肉。。。。。。。。。。。。,,,,,,,,,
bHv958193994,5,服务不错服务不错，采量很足，不次还回来,,,,,,,,,
bHv958193994,5,烤肉很好吃，来过很多次了，服务很好很棒，服务员都认识了，都很好。,,,,,,,,,
四叶草萱,5,烤芝士玉米很棒！！！！！！！！,,,,,,,,,
四叶草萱,5,特别好！强力推荐！！！！！！！！,,,,,,,,,
qwe75611372,5,服务好   赞赞赞赞赞赞赞赞赞赞,,,,,,,,,
qwe75611372,5,服务好   赞赞赞赞赞赞赞赞赞,,,,,,,,,
qbn519880494,4,第二次去了  带男朋友和同事一起  服务很好  烤肉不错  生菜免费加  南瓜汤很地道,,,,,,,,,
_qqnd51430969121,2,海鲜跟啤酒车一起喝，以后再也不去了。,,,,,,,,,
lisazhao516,3,口味还可以，猪五花太肥了。量较少。,,,,,,,,,
qwe75611372,5,超赞。。。。。。。。。。。。。。。,,,,,,,,,
qwe75611372,5,超赞。。。。。。。。。。。。。。,,,,,,,,,
qwe75611372,5,好好好。。。。。。。。。。。。,,,,,,,,,
iWs152790602,5,好好好好好好好好好好好好好好。,,,,,,,,,
bHv958193994,4,服务小哥很认真，对我们很热情，很主动给我们南瓜粥,,,,,,,,,
bHv958193994,4,还不错，服务挺好，味道也还不错。,,,,,,,,,
bHv958193994,5,一如既往的好吃，服务也一流的棒棒的,,,,,,,,,
iWs152790602,5,还会再来，以后经常来 谢谢再来,,,,,,,,,
跳舞的彬彬,2,贵啊，真贵啊！味道还一般般！2啊啊啊啊啊啊啊啊啊啊啊,,,,,,,,,
开心乐乐滴闹闹,5,服务是真心好，建议把口头语的“昂”去掉~调味的肉会更好吃，但总体都不错~套餐很实惠，小菜无限加，大爱土豆泥和南瓜粥,,,,,,,,,
bHv958193994,5,超级棒，强烈推荐！！！！！都快快来吧！,,,,,,,,,
qwe75611372,5,赞赞。。。。。。。。。。。。。。。,,,,,,,,,
qwe75611372,5,赞赞赞。。。。。。。。。。。。。,,,,,,,,,
qwe75611372,5,赞赞。。。。。。。。。。。。。。,,,,,,,,,
Cks569719690,4,味道凑合，地点好，服务很周到，希望更好,,,,,,,,,
bHv958193994,4,孩子，家人都很喜欢，服务热情周到。,,,,,,,,,
kaixinshui,4,非常好，尤其服务员帅哥，特别周到，我们人多，非常耐心。口味很好，很喜欢，下次还去。,,,,,,,,,
bHv958193994,5,服务很棒，很超值，特爱南瓜粥无限续，哈哈哈哈哈哈哈哈哈哈.......,,,,,,,,,
bHv958193994,5,服务热情周到，很到位。五花肉很香。还会再来。,,,,,,,,,
bHv958193994,5,服务很好，很实惠，以后会常来，好好好好好啊好很赞很赞很赞.................,,,,,,,,,
匿名用户,5,一如既往的好，服务好，味道好，吃两次啦,,,,,,,,,
妙果冻色,3,味道还不错  但是油烟味太大  服务员挺好的,,,,,,,,,
马到u成功,3,味道还行，就是量少了点，有些吃不饱！,,,,,,,,,
zxy00731215,3,一如既往的喜欢，尤其喜欢牛五花，比我那个139的雪花3号好吃极了，这次是美团团的169，比起之前在店里吃的178的双人套餐更合适，多了泡菜炒饭，服务员现场炒饭，味道好，小菜和南瓜粥不限量，喜欢他家的餐具,,,,,,,,,
匿名用户,4,好哈哈很好 好好好好好好好好好好好好好好好好好好好好好好好好好很好,,,,,,,,,
UoT178535744,4,服务态度特别好，一起唱生日歌！,,,,,,,,,
达达兔968,4,周末去的，需要等位。烤肉味道不错，老人过生日还给送了碗长寿面，不错！,,,,,,,,,
qqleon,5,非常好吃，经济实惠，适合朋友聚会,,,,,,,,,
Remember0331,4,每次都来从来没让我失望过永远那么好吃,,,,,,,,,
bHv958193994,4,哈哈哈哈哈哈好，，，，小哥炒的饭很香，,,,,,,,,,
