区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
bHv958193994,5,味道不错，米酒好喝，鲜五花，特级牛五花，都推荐，吃肉的都来,,,,,,,,,
bHv958193994,5,服务棒棒搭 环境好舒服 味道不错,,,,,,,,,
bHv958193994,5,口味好，服务好，服务员烤肉，菜品新鲜,,,,,,,,,
bHv958193994,5,菜品有特色，环境很好，服务员很热情。,,,,,,,,,
匿名用户,5,服务很哈好，刚上桌就给了南瓜粥，特别棒，全程给烤肉，不用自己动手，很喜欢，套餐五花肉和牛肉很鲜嫩，蔬菜可以一直免费吃，是到了那才团的票，其实就是比在那便宜二十块钱，走的时候还说欢迎再次光临，服务态度超级棒！,,,,,,,,,
bHv958193994,5,服务态度好，帮我们把肉全烤了，还送了饮料！谢谢！,,,,,,,,,
bHv958193994,5,超值套餐，一流的服务，很棒的烤肉。还会再来。,,,,,,,,,
bHv958193994,5,超值套餐，一流的服务，很棒的烤肉。还会再来。,,,,,,,,,
bHv958193994,5,超值套餐，一流的服务，很棒的烤肉。还会再来。,,,,,,,,,
bHv958193994,5,每次来都吃四份五花，特别香，服务员都很好。,,,,,,,,,
bHv958193994,5,超值套餐，一流的服务，很棒的烤肉。还会再来。,,,,,,,,,
bHv958193994,5,十分不错，服务周到热情，肉质很新鲜。,,,,,,,,,
bHv958193994,5,菜品种类齐全，服务业特别好，好吃不得了。,,,,,,,,,
bHv958193994,4,好好。非常好 服务态度超赞 南瓜粥好好喝,,,,,,,,,
bHv958193994,5,非常好吃，经济实惠，适合朋友聚餐，服务很满意。,,,,,,,,,
kaixinshui,4,环境好，服务好，味道好，经常去,,,,,,,,,
bHv958193994,5,每次来都很热情，服务给个好评，喜欢五花肉,,,,,,,,,
bHv958193994,5,朋友推荐的，还不错，很合口味，服务很热情。,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，推荐！,,,,,,,,,
bHv958193994,5,团购很超值，每次都吃套餐，很棒色五花肉,,,,,,,,,
A小尾吧,5,服务棒棒的，经常来吃，四人套餐撑得不行。下次还会来。推荐！,,,,,,,,,
bHv958193994,5,服务很好，肉很新鲜，南瓜粥好喝，会常来。,,,,,,,,,
bHv958193994,5,吃得开心，服务态度好，菜品味道很好。,,,,,,,,,
bHv958193994,5,老会员啦，烤肉就吃他家的，好吃不贵,,,,,,,,,
bHv958193994,5,非常周到，菜品很精致，色香味齐全。,,,,,,,,,
无力的挣扎着,5,很不错，服务好，菜也很好吃以后经常去,,,,,,,,,
A小尾吧,5,最近总来吃，等位超过半小时还给送了爱吃的玉米，特别棒。还来,,,,,,,,,
bHv958193994,5,大酱汤，腌制的牛排，南瓜粥，小菜推荐，烤肉不用自己动手，服务给赞,,,,,,,,,
bHv958193994,5,挺不错的，经常去哪吃，然后口味服务啊都不错。,,,,,,,,,
CuR722571989,3,服务不错，环境不错，就是等待时间有点长,,,,,,,,,
blz660982136,3,排队出现小插曲，不过经理解决了，前台的女服务员态度不太好，口味不错,,,,,,,,,
bHv958193994,5,吃的最满意的一餐了，有团购就是实惠，两人吃到撑，还是三人吃合适，推荐,,,,,,,,,
bHv958193994,5,口味不错，味道很好，服务态度好！,,,,,,,,,
bHv958193994,5,特别好吃，强烈推荐，态度很好，还会再来,,,,,,,,,
rPJ255750856,2,人多服务就有点跟不上 这个需要改进啊 别的还好咯,,,,,,,,,
bHv958193994,5,服务很好，肉很新鲜，南瓜粥好喝，会常来，非常赞。,,,,,,,,,
bHv958193994,5,环境很好，还有免费的南瓜粥，套餐很实惠,,,,,,,,,
bHv958193994,5,哈哈，海鲜豆腐汤很棒，吃工作餐的好去处。,,,,,,,,,
bHv958193994,5,周末来需要等位，不过真的很好吃，推荐！等位时间长了还送芝士玉米。,,,,,,,,,
